,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
130,W9_2012_9,C3,#89C667,o,20,0.6,7.3,72.9,26.0,173.9,0,454.4,0,159.0,137.0,1120.0
131,W9_2013_7,C4,#67ACE6,o,20,0.6,8.2,147.93,45.84,74.7,0,114.15,0,130.23,212.65,1049.32
132,W9_2013_10,C4,#67ACE6,o,20,0.6,6.99,128.7,44.29,67.25,0,80.78,0,128.21,179.73,918.09
133,W9_2014_8,C4,#67ACE6,o,20,0.6,6.95,133.54,47.04,64.46,0,86.97,0,134.47,178.28,919.69
134,W9_2014_12,C4,#67ACE6,o,20,0.6,7.27,140.26,50.81,81.42,0,161.54,0,157.68,206.26,1004.95
135,W9_2015_4,C4,#67ACE6,o,20,0.6,7.96,137.48,45.76,70.84,0,146.11,0,149.37,183.18,945.58
136,W9_2015_9,C4,#67ACE6,o,20,0.6,8.2,121.09,32.64,80.52,0,255.37,0,102.32,142.51,913.15
137,W9_2016_6,C4,#67ACE6,o,20,0.6,7.4,138.64,38.61,86.13,0,274.13,0,105.93,153.0,999.8
138,W9_2017_6,C2,#E9C832,o,20,0.6,7.01,191.84,52.55,150.75,0,291.52,0,213.44,380.06,1112.0
139,W9_2017_10,C4,#67ACE6,o,20,0.6,7.78,260.25,59.41,88.02,0,120.43,0,182.84,342.94,1508.0
140,W10_2002_9,C4,#67ACE6,o,20,0.6,7.6,116.71,43.76,72.27,0,73.66,0,158.78,142.94,830.17
141,W10_2003_6,C4,#67ACE6,o,20,0.6,8.0,199.03,37.44,54.2,0,113.61,0,148.24,211.26,1108.63
142,W10_2004_9,C3,#89C667,o,20,0.6,7.5,141.0,51.0,159.0,0,385.0,0,196.0,125.0,1040.0
143,W10_2007_4,C4,#67ACE6,o,20,0.6,7.8,139.0,42.7,102.0,0,199.0,0,186.0,117.0,836.52
144,W10_2008_9,C3,#89C667,o,20,0.6,7.2,97.6,38.5,236.5,0,373.0,0,189.0,138.0,1100.0
145,W10_2009_4,C4,#67ACE6,o,20,0.6,7.5,124.1,41.2,235.0,0,243.0,0,110.0,143.0,807.2
146,W10_2010_9,C2,#E9C832,o,20,0.6,7.2,197.36,65.22,108.4,0,575.72,0,317.0,213.0,920.0
147,W10_2011_9,C3,#89C667,o,20,0.6,7.8,82.2,29.3,177.27,0,414.1,0,167.0,95.3,1101.14
148,W10_2012_4,C3,#89C667,o,20,0.6,7.0,79.5,28.3,201.2,0,381.4,0,133.0,102.0,988.0
149,W10_2012_9,C3,#89C667,o,20,0.6,7.3,76.7,27.4,191.0,0,399.3,0,142.0,108.0,1044.0
150,W10_2013_7,C4,#67ACE6,o,20,0.6,8.3,176.0,31.43,168.7,0,163.51,0,125.44,132.84,859.85
151,W10_2013_10,C2,#E9C832,o,20,0.6,6.99,109.4,51.59,171.99,0,99.42,0,121.44,277.0,1197.83
152,W10_2014_8,C4,#67ACE6,o,20,0.6,7.16,183.62,55.38,60.59,0,110.16,0,120.5,238.48,1160.83
153,W10_2014_12,C2,#E9C832,o,20,0.6,7.36,173.65,56.71,68.01,0,109.73,0,113.59,241.38,1123.92
154,W10_2015_4,C4,#67ACE6,o,20,0.6,7.9,174.98,51.93,71.11,0,116.89,0,116.97,208.13,1127.93
155,W10_2015_9,C4,#67ACE6,o,20,0.6,7.85,343.8,38.46,74.05,0,141.87,0,185.6,260.41,1678.64
156,W10_2017_7,C4,#67ACE6,o,20,0.6,6.93,129.3,53.29,97.58,0,166.46,0,144.98,166.4,988.0
157,W7_2002_9,C4,#67ACE6,o,20,0.6,7.3,233.27,34.23,62.68,0,150.4,0,132.53,167.91,1200.67
158,W7_2003_6,C4,#67ACE6,o,20,0.6,7.55,217.12,34.85,58.1,0,153.92,0,129.58,151.56,1195.99
159,W7_2004_9,C4,#67ACE6,o,20,0.6,7.6,68.6,23.2,181.0,0,123.0,0,247.0,50.8,597.0
160,W7_2007_4,C4,#67ACE6,o,20,0.6,7.0,226.0,25.4,65.4,0,298.0,0,200.0,126.0,980.7
161,W7_2008_9,C4,#67ACE6,o,20,0.6,7.8,163.25,50.69,61.7,0,270.0,0,142.0,106.0,918.0
162,W7_2009_4,C4,#67ACE6,o,20,0.6,7.4,181.4,38.8,99.6,0,319.0,0,95.0,135.0,917.3
163,W7_2011_4,C4,#67ACE6,o,20,0.6,7.3,106.2,37.9,76.2,0,135.2,0,93.6,128.0,1164.6
164,W7_2011_9,C3,#89C667,o,20,0.6,7.8,118.7,42.3,163.35,0,382.6,0,120.0,116.0,1615.99
165,W7_2012_4,C3,#89C667,o,20,0.6,7.2,112.6,40.2,269.5,0,419.7,0,112.0,155.0,1769.0
166,W7_2012_9,C3,#89C667,o,20,0.6,8.1,111.0,39.6,420.9,0,555.6,0,98.5,282.0,2092.0
167,W7_2013_7,C4,#67ACE6,o,20,0.6,8.1,140.37,39.29,322.8,0,209.79,0,158.96,138.09,985.91
168,W7_2013_10,C4,#67ACE6,o,20,0.6,7.36,194.5,36.25,76.52,0,382.16,0,141.8,156.57,1181.3
169,W7_2014_8,C4,#67ACE6,o,20,0.6,7.46,117.83,39.9,79.71,0,208.73,0,139.71,146.11,898.6
170,W7_2015_4,C4,#67ACE6,o,20,0.6,7.64,140.72,45.48,43.33,0,225.01,0,120.57,121.75,887.46
171,W7_2015_9,C4,#67ACE6,o,20,0.6,7.97,165.04,46.78,75.0,0,340.49,0,149.91,155.42,1071.22
172,W7_2016_6,C4,#67ACE6,o,20,0.6,7.95,86.65,22.84,50.48,0,137.06,0,77.44,130.78,579.58
173,W7_2017_7,C2,#E9C832,o,20,0.6,7.57,145.8,66.53,188.1,0,381.25,0,273.84,150.8,1240.0
174,W7_2017_10,C4,#67ACE6,o,20,0.6,7.65,188.61,35.43,82.73,0,317.79,0,210.67,99.16,1052.0
175,W2_2001_6,C4,#67ACE6,o,20,0.6,8.0,109.94,35.34,66.75,0,135.66,0,167.65,80.51,790.59
176,W2_2002_9,C4,#67ACE6,o,20,0.6,7.0,122.16,38.7,56.29,0,73.66,0,98.83,200.57,810.5
177,W2_2003_6,C4,#67ACE6,o,20,0.6,8.6,108.56,36.14,53.3,0,24.56,0,93.3,195.19,736.45
178,W2_2004_9,C4,#67ACE6,o,20,0.6,8.1,122.0,44.8,65.5,0,194.0,0,130.0,112.0,907.0
179,W2_2005_4,C4,#67ACE6,o,20,0.6,8.1,126.0,44.2,69.1,0,183.0,0,121.0,105.0,731.0
180,W2_2006_9,C3,#89C667,o,20,0.6,6.9,41.5,83.8,146.0,0,303.0,0,115.0,230.0,945.0
181,W2_2007_4,C4,#67ACE6,o,20,0.6,7.6,127.0,30.6,105.0,0,303.0,0,111.0,172.0,868.1
182,W2_2008_9,C3,#89C667,o,20,0.6,7.7,45.0,75.6,128.0,0,243.7,0,115.0,185.0,816.0
183,W2_2009_4,C4,#67ACE6,o,20,0.6,7.3,124.1,37.3,115.9,0,310.0,0,126.0,176.0,916.6
184,W2_2011_9,C3,#89C667,o,20,0.6,7.7,75.4,26.9,128.2,0,333.1,0,113.0,81.7,834.08
185,W2_2012_4,C3,#89C667,o,20,0.6,6.9,73.0,26.1,190.7,0,382.6,0,114.0,122.0,1037.0
186,W2_2012_9,C3,#89C667,o,20,0.6,7.6,80.4,28.7,152.5,0,365.8,0,116.0,106.0,946.0
187,W2_2013_7,C4,#67ACE6,o,20,0.6,8.2,150.09,45.84,78.55,0,111.07,0,139.81,225.78,1021.61
188,W2_2013_10,C2,#E9C832,o,20,0.6,7.4,148.7,45.31,97.38,0,267.2,0,160.11,258.48,1078.77
189,W2_2014_8,C2,#E9C832,o,20,0.6,7.42,174.78,78.6,164.34,0,173.94,0,235.77,288.65,1522.16
190,W2_2014_12,C2,#E9C832,o,20,0.6,7.59,163.94,56.71,145.48,0,283.46,0,161.21,373.99,1292.17
191,W2_2015_4,C2,#E9C832,o,20,0.6,7.45,153.68,63.44,134.96,0,268.85,0,160.16,359.29,1269.16
192,W2_2015_9,C2,#E9C832,o,20,0.6,8.1,126.65,69.24,225.79,0,278.07,0,197.5,217.16,1485.32
